a_account_type,a_fund_seg1,master_object,master_project,master_org,account_name,department,division,cy_revised,ly_actual,ly_actual_closed,ly2_actual,object_name,character_code,character_code_name,org_name,default_year,default_period,munis_year,munis_period,fund_name,dept_name,division_name,budget_projection_used,budget_org,budget_object,budget_project,ny_budget_prelim,ny_budget_adopted,ny2_budget_prelim,ny2_budget_adopted
E,1,110000, ,151160,Salaries and Wages            ,1,1,52200,52200,52200,52200,Salaries and Wages            ,10,SALARIES & WAGES,City Council                  ,2019,1,2018,12,GENERAL,CITY COUNCIL,City Council,18,151160,110000, ,52200,52200,52200,52200
E,1,110000, ,251310,Salaries and Wages            ,3,2,424700,375601.78,375601.78,353904.7,Salaries and Wages            ,10,SALARIES & WAGES,City Manager                  ,2019,1,2018,12,GENERAL,CITY MANAGER,City Manager,18,251310,110000, ,251200,251200,253600,253600
E,1,110000, ,351310,Salaries and Wages            ,5,3,0,0,0,0,Salaries and Wages            ,10,SALARIES & WAGES,Communications                ,2019,1,2018,12,GENERAL,ADMINISTRATIVE SERVICES,Communications,18,351310,110000, ,113100,113100,121300,121300
E,1,110000, ,455870,Salaries and Wages            ,3,4,234500,175415.09,175415.09,308750.19,Salaries and Wages            ,10,SALARIES & WAGES,Economic Development          ,2019,1,2018,12,GENERAL,CITY MANAGER,Economic Development,18,455870,110000, ,244800,244800,252100,252100
E,1,110000, ,551420,Salaries and Wages            ,5,5,345600,259289.96,259289.96,225348.34,Salaries and Wages            ,10,SALARIES & WAGES,City Clerk                    ,2019,1,2018,12,GENERAL,ADMINISTRATIVE SERVICES,City Clerk,18,551420,110000, ,360800,360800,374500,374500
E,1,110000, ,651810,Salaries and Wages            ,5,6,204500,133185.61,133185.61,119259,Salaries and Wages            ,10,SALARIES & WAGES,Human Resources               ,2019,1,2018,12,GENERAL,ADMINISTRATIVE SERVICES,Human Resources,18,651810,110000, ,230400,230400,240500,240500
E,1,110000, ,751420,Salaries and Wages            ,4,7,716700,504496.25,504496.25,447993.44,Salaries and Wages            ,10,SALARIES & WAGES,Finance                       ,2019,1,2018,12,GENERAL,FINANCE,Finance,18,751420,110000, ,602000,602000,602000,602000
E,1,110000, ,851880,Salaries and Wages            ,5,8,310300,224145.58,224145.58,191724.17,Salaries and Wages            ,10,SALARIES & WAGES,Information Technology        ,2019,1,2018,12,GENERAL,ADMINISTRATIVE SERVICES,Information Technology,18,851880,110000, ,336400,336400,358900,358900
E,1,110000, ,1051530,Salaries and Wages            ,6,10,306500,330178.99,330178.99,264282.63,Salaries and Wages            ,10,SALARIES & WAGES,Legal Services                ,2019,1,2018,12,GENERAL,LEGAL,Legal Services,18,1051530,110000, ,320800,320800,330300,330300
E,1,110000, ,1354190,Salaries and Wages            ,11,13,152300,141764.74,141764.74,206276.29,Salaries and Wages            ,10,SALARIES & WAGES,Public Works                  ,2019,1,2018,12,GENERAL,PUBLIC WORKS,Public Works - Gen Fund,18,1354190,110000, ,151000,151000,155600,155600
E,1,110000, ,1455850,Salaries and Wages            ,13,14,612000,572462.99,572462.99,493094.05,Salaries and Wages            ,10,SALARIES & WAGES,Building Permits & Plan Review,2019,1,2018,12,GENERAL,COMMUNITY DEVELOPMENT,Building,18,1455850,110000, ,606400,606400,633900,633900
E,1,110000, ,1555860,Salaries and Wages            ,13,15,534500,452203.99,452203.99,406123.66,Salaries and Wages            ,10,SALARIES & WAGES,Planning                      ,2019,1,2018,12,GENERAL,COMMUNITY DEVELOPMENT,Planning,18,1555860,110000, ,568200,568200,588600,588600
E,1,110000, ,1657100,Salaries and Wages            ,14,16,1559600,1304711.08,1304711.08,1123918.85,Salaries and Wages            ,10,SALARIES & WAGES,Parks Administration          ,2019,1,2018,12,GENERAL,PARKS/REC/CULTURAL SVCS,Parks Administration,18,1657100,110000, ,1994500,1994500,2094300,2094300
E,1,110000, ,2955720,Salaries and Wages            ,3,29,0,0,0,0,Salaries and Wages            ,10,SALARIES & WAGES,Human Services                ,2019,1,2018,12,GENERAL,CITY MANAGER,Human Services,18,2955720,110000, ,94100,94100,96900,96900
E,1,120000, ,251310,Overtime                      ,3,2,0,793.19,793.19,21.58,Overtime                      ,10,SALARIES & WAGES,City Manager                  ,2019,1,2018,12,GENERAL,CITY MANAGER,City Manager,18,251310,120000, ,0,0,0,0
E,1,120000, ,455870,Overtime                      ,3,4,0,0,0,0,Overtime                      ,10,SALARIES & WAGES,Economic Development          ,2019,1,2018,12,GENERAL,CITY MANAGER,Economic Development,18,455870,120000, ,0,0,0,0
E,1,120000, ,551420,Overtime                      ,5,5,0,112.56,112.56,19.39,Overtime                      ,10,SALARIES & WAGES,City Clerk                    ,2019,1,2018,12,GENERAL,ADMINISTRATIVE SERVICES,City Clerk,18,551420,120000, ,0,0,0,0
E,1,120000, ,651810,Overtime                      ,5,6,0,0,0,0,Overtime                      ,10,SALARIES & WAGES,Human Resources               ,2019,1,2018,12,GENERAL,ADMINISTRATIVE SERVICES,Human Resources,18,651810,120000, ,0,0,0,0
E,1,120000, ,751420,Overtime                      ,4,7,0,604.18,604.18,0,Overtime                      ,10,SALARIES & WAGES,Finance                       ,2019,1,2018,12,GENERAL,FINANCE,Finance,18,751420,120000, ,0,0,0,0
E,1,120000, ,851880,Overtime                      ,5,8,0,561.72,561.72,1262.13,Overtime                      ,10,SALARIES & WAGES,Information Technology        ,2019,1,2018,12,GENERAL,ADMINISTRATIVE SERVICES,Information Technology,18,851880,120000, ,0,0,0,0
E,1,120000, ,1051530,Overtime                      ,6,10,0,0,0,0,Overtime                      ,10,SALARIES & WAGES,Legal Services                ,2019,1,2018,12,GENERAL,LEGAL,Legal Services,18,1051530,120000, ,0,0,0,0
E,1,120000, ,1354190,Overtime                      ,11,13,0,2231,2231,0,Overtime                      ,10,SALARIES & WAGES,Public Works                  ,2019,1,2018,12,GENERAL,PUBLIC WORKS,Public Works - Gen Fund,18,1354190,120000, ,0,0,0,0
E,1,120000, ,1455850,Overtime                      ,13,14,0,17.74,17.74,0,Overtime                      ,10,SALARIES & WAGES,Building Permits & Plan Review,2019,1,2018,12,GENERAL,COMMUNITY DEVELOPMENT,Building,18,1455850,120000, ,0,0,0,0
E,1,120000, ,1555860,Overtime                      ,13,15,0,5.91,5.91,0,Overtime                      ,10,SALARIES & WAGES,Planning                      ,2019,1,2018,12,GENERAL,COMMUNITY DEVELOPMENT,Planning,18,1555860,120000, ,0,0,0,0
E,1,120000, ,1657100,Overtime                      ,14,16,10000,10547.81,10547.81,14753.29,Overtime                      ,10,SALARIES & WAGES,Parks Administration          ,2019,1,2018,12,GENERAL,PARKS/REC/CULTURAL SVCS,Parks Administration,18,1657100,120000, ,10000,10000,10000,10000
E,1,210000, ,151160,Medicare                      ,1,1,760,756.96,756.96,756.96,Medicare                      ,20,PERSONNEL BENEFITS,City Council                  ,2019,1,2018,12,GENERAL,CITY COUNCIL,City Council,18,151160,210000, ,760,760,760,760
E,1,210000, ,251310,Medicare                      ,3,2,6160,5340.49,5340.49,5172.75,Medicare                      ,20,PERSONNEL BENEFITS,City Manager                  ,2019,1,2018,12,GENERAL,CITY MANAGER,City Manager,18,251310,210000, ,3640,3640,3675,3675
E,1,210000, ,351310,Medicare                      ,5,3,0,0,0,0,Medicare                      ,20,PERSONNEL BENEFITS,Communications                ,2019,1,2018,12,GENERAL,ADMINISTRATIVE SERVICES,Communications,18,351310,210000, ,1640,1640,1760,1760
E,1,210000, ,455870,Medicare                      ,3,4,3400,2519.83,2519.83,4821.67,Medicare                      ,20,PERSONNEL BENEFITS,Economic Development          ,2019,1,2018,12,GENERAL,CITY MANAGER,Economic Development,18,455870,210000, ,3550,3550,3655,3655
E,1,210000, ,551420,Medicare                      ,5,5,5005,3751.72,3751.72,3267.14,Medicare                      ,20,PERSONNEL BENEFITS,City Clerk                    ,2019,1,2018,12,GENERAL,ADMINISTRATIVE SERVICES,City Clerk,18,551420,210000, ,5230,5230,5430,5430
E,1,210000, ,651810,Medicare                      ,5,6,2965,1950.04,1950.04,1768.63,Medicare                      ,20,PERSONNEL BENEFITS,Human Resources               ,2019,1,2018,12,GENERAL,ADMINISTRATIVE SERVICES,Human Resources,18,651810,210000, ,3340,3340,3490,3490
E,1,210000, ,751420,Medicare                      ,4,7,10390,7207.62,7207.62,6402.15,Medicare                      ,20,PERSONNEL BENEFITS,Finance                       ,2019,1,2018,12,GENERAL,FINANCE,Finance,18,751420,210000, ,8730,8730,8725,8725
E,1,210000, ,851880,Medicare                      ,5,8,4500,3259.94,3259.94,2799.02,Medicare                      ,20,PERSONNEL BENEFITS,Information Technology        ,2019,1,2018,12,GENERAL,ADMINISTRATIVE SERVICES,Information Technology,18,851880,210000, ,4880,4880,5200,5200
E,1,210000, ,1051530,Medicare                      ,6,10,4445,4747.27,4747.27,3746.75,Medicare                      ,20,PERSONNEL BENEFITS,Legal Services                ,2019,1,2018,12,GENERAL,LEGAL,Legal Services,18,1051530,210000, ,4650,4650,4790,4790
E,1,210000, ,1354190,Medicare                      ,11,13,2205,2109.68,2109.68,3015.93,Medicare                      ,20,PERSONNEL BENEFITS,Public Works                  ,2019,1,2018,12,GENERAL,PUBLIC WORKS,Public Works - Gen Fund,18,1354190,210000, ,2190,2190,2260,2260
E,1,210000, ,1455850,Medicare                      ,13,14,8880,8265.45,8265.45,7114.51,Medicare                      ,20,PERSONNEL BENEFITS,Building Permits & Plan Review,2019,1,2018,12,GENERAL,COMMUNITY DEVELOPMENT,Building,18,1455850,210000, ,8795,8795,9195,9195
E,1,210000, ,1555860,Medicare                      ,13,15,7755,6466.08,6466.08,5811.89,Medicare                      ,20,PERSONNEL BENEFITS,Planning                      ,2019,1,2018,12,GENERAL,COMMUNITY DEVELOPMENT,Planning,18,1555860,210000, ,8245,8245,8535,8535
E,1,210000, ,1657100,Medicare                      ,14,16,22600,18843.94,18843.94,16249.34,Medicare                      ,20,PERSONNEL BENEFITS,Parks Administration          ,2019,1,2018,12,GENERAL,PARKS/REC/CULTURAL SVCS,Parks Administration,18,1657100,210000, ,28920,28920,30375,30375
E,1,210000, ,2955720,Medicare                      ,3,29,0,0,0,0,Medicare                      ,20,PERSONNEL BENEFITS,Human Services                ,2019,1,2018,12,GENERAL,CITY MANAGER,Human Services,18,2955720,210000, ,1365,1365,1405,1405
E,1,220000, ,251310,Retirement                    ,3,2,51625,34498.31,34498.31,29180.14,Retirement                    ,20,PERSONNEL BENEFITS,City Manager                  ,2019,1,2018,12,GENERAL,CITY MANAGER,City Manager,18,251310,220000, ,32230,32230,32535,32535
E,1,220000, ,351310,Retirement                    ,5,3,0,0,0,0,Retirement                    ,20,PERSONNEL BENEFITS,Communications                ,2019,1,2018,12,GENERAL,ADMINISTRATIVE SERVICES,Communications,18,351310,220000, ,12085,12085,13075,13075
E,1,220000, ,455870,Retirement                    ,3,4,27470,20812.94,20812.94,26406.1,Retirement                    ,20,PERSONNEL BENEFITS,Economic Development          ,2019,1,2018,12,GENERAL,CITY MANAGER,Economic Development,18,455870,220000, ,28980,28980,29855,29855
